"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
0,0,28,6,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,0,28,7,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,0,28,8,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,1,29,1,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,1,29,2,1,190,1,6,0,0,89.1437125748503,0.185714285714286
1,1,29,3,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,1,29,4,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,29,5,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,29,6,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,29,7,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,29,8,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,1,30,1,1,211,1,6,0,0,110.14371257485,0.185714285714286
1,1,30,2,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,1,30,3,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,1,30,4,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,0,30,5,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,0,30,6,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,0,30,7,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,0,30,8,1,211,1,6,0,0,110.14371257485,0.185714285714286
0,1,31,1,1,141,1,6,0,0,40.1437125748503,0.185714285714286
0,1,31,2,1,141,1,6,0,0,40.1437125748503,0.185714285714286
0,1,31,3,1,141,1,6,0,0,40.1437125748503,0.185714285714286
0,1,31,4,1,141,1,6,0,0,40.1437125748503,0.185714285714286
1,0,31,5,1,141,1,6,0,0,40.1437125748503,0.185714285714286
1,0,31,6,1,141,1,6,0,0,40.1437125748503,0.185714285714286
1,0,31,7,1,141,1,6,0,0,40.1437125748503,0.185714285714286
0,0,31,8,1,141,1,6,0,0,40.1437125748503,0.185714285714286
1,1,32,1,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,1,32,2,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,1,32,3,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,1,32,4,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,0,32,5,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,0,32,6,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,0,32,7,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,0,32,8,1,212,1,6,0,0,111.14371257485,0.185714285714286
1,1,33,1,1,202,1,6,0,0,101.14371257485,0.185714285714286
1,1,33,2,1,202,1,6,0,0,101.14371257485,0.185714285714286
1,1,33,3,1,202,1,6,0,0,101.14371257485,0.185714285714286
